iter	R2	RMSE
549	0.9920298461	73972.30557
550	0.9920335652	73955.04504
551	0.9920428569	73911.90317
552	0.9920555252	73853.04358
553	0.9920639912	73813.68237
554	0.9920734613	73769.62814
555	0.9920866807	73708.08817
556	0.9921015526	73638.794
557	0.9921137306	73582.00319
558	0.9921292064	73509.76973
559	0.9921424413	73447.94002
560	0.9921569566	73380.06792
561	0.9921679663	73328.54633
562	0.9921785649	73278.91419
563	0.9921967599	73193.63007
564	0.9922117878	73123.11617
565	0.9922311867	73031.99139
566	0.9922382472	72998.79725
567	0.9922482566	72951.71305
568	0.9922554461	72917.87512
569	0.9922707509	72845.78916
570	0.9922809365	72797.77545
571	0.9922957702	72727.79429
572	0.9923037198	72690.26252
573	0.9923162338	72631.14172
574	0.9923340794	72546.74976
575	0.992348827	72476.93407
576	0.9923591863	72427.85236
577	0.9923701377	72375.9292
578	0.9923820727	72319.30004
579	0.9923912925	72275.52364
580	0.9923988109	72239.80575
581	0.9924106781	72183.39246
582	0.9924157995	72159.03315
583	0.9924198161	72139.92268
584	0.9924298346	72092.23431
585	0.9924354173	72065.64708
586	0.9924448868	72020.52626
587	0.9924621163	71938.35754
588	0.9924667628	71916.18179
589	0.9924761819	71871.2082
590	0.9924808173	71849.0647
591	0.9924853856	71827.23562
592	0.9925062597	71727.40529
593	0.9925135923	71692.30442
594	0.9925285238	71620.7741
595	0.9925366179	71581.96875
596	0.9925430783	71550.98125
597	0.9925478836	71527.92346
598	0.9925631772	71454.48922
599	0.9925711976	71415.94795
600	0.9925809013	71369.29008
601	0.9925961395	71295.95926
602	0.9926085843	71236.01486
603	0.9926175235	71192.92518
604	0.9926313956	71126.00601
605	0.9926398172	71085.34949
606	0.9926568502	71003.04853
607	0.9926704797	70937.12402
608	0.9926904947	70840.20255
609	0.9927008673	70789.92158
610	0.9927068801	70760.75814
611	0.9927146856	70722.88229
612	0.9927179518	70707.0267
613	0.9927277494	70659.44463
614	0.9927371408	70613.80518
615	0.9927417625	70591.33402
616	0.9927506425	70548.13883
617	0.9927623865	70490.97118
618	0.9927737518	70435.60333
619	0.9927816116	70397.28728
620	0.9927916019	70348.55556
621	0.9928021686	70296.97505
622	0.9928108556	70254.54176
623	0.9928141877	70238.25861
624	0.9928222463	70198.863
625	0.9928310135	70155.97771
626	0.9928367464	70127.92111
627	0.9928426779	70098.88057
628	0.9928524647	70050.93805
629	0.9928549495	70038.76049
630	0.9928584767	70021.47108
631	0.9928689585	69970.06616
632	0.9928757526	69936.72618
633	0.9928882425	69875.3941
634	0.9928979652	69827.61358
635	0.9929029957	69802.87903
636	0.9929104687	69766.11887
637	0.9929186485	69725.85964
638	0.9929273934	69682.79366
639	0.9929427396	69607.15343
640	0.9929508394	69567.197
641	0.9929578157	69532.76437
642	0.9929646723	69498.9056
643	0.9929713674	69465.82922
644	0.9929840283	69403.23546
645	0.9929925941	69360.85491
646	0.993003731	69305.71559
647	0.9930123819	69262.85398
648	0.9930181878	69234.07321
649	0.9930274287	69188.23988
650	0.9930411392	69120.1824
651	0.9930506464	69072.95046
652	0.9930639057	69007.02354
653	0.9930728458	68962.53682
654	0.9930793432	68930.18704
655	0.9930940737	68856.78998
656	0.9931001439	68826.5213
657	0.9931114752	68769.98258
658	0.993124996	68702.45866
659	0.9931336412	68659.24883
660	0.9931445629	68604.62231
661	0.993154687	68553.9456
662	0.9931587078	68533.80924
663	0.9931721266	68466.56352
664	0.9931826669	68413.69666
665	0.9931866399	68393.75874
666	0.9931938907	68357.35689
667	0.9932047645	68302.72917
668	0.9932128083	68262.29078
669	0.9932189962	68231.16634
670	0.993223188	68210.074
671	0.9932302373	68174.58842
672	0.993236607	68142.50796
673	0.9932416906	68116.894
674	0.9932457984	68096.18982
675	0.9932585727	68031.76368
676	0.9932637564	68005.60264
677	0.9932672925	67987.75099
678	0.9932704236	67971.94002
679	0.9932790315	67928.45408
680	0.9932865194	67890.60355
681	0.9932935624	67854.98286
682	0.9932984484	67830.26064
683	0.9933014286	67815.17678
684	0.9933058075	67793.00739
685	0.9933188663	67726.85095
686	0.993321255	67714.74277
687	0.9933289942	67675.49812
688	0.9933308317	67666.17685
689	0.9933332156	67654.08228
690	0.9933446815	67595.87966
691	0.9933479127	67579.46827
692	0.9933556127	67540.34426
693	0.9933608994	67513.46933
694	0.9933686015	67474.29645
695	0.993370999	67462.09788
696	0.9933799772	67416.39791
697	0.9933903718	67363.44939
698	0.9934005299	67311.66535
699	0.9934035092	67296.46965
700	0.9934126816	67249.66556
701	0.993417014	67227.54751
702	0.9934188685	67218.07742
703	0.9934285219	67168.76058
704	0.993437317	67123.79696
705	0.9934411385	67104.25069
706	0.9934516547	67050.43312
707	0.9934635531	66989.48989
708	0.9934687581	66962.81228
709	0.9934745864	66932.92797
710	0.9934819771	66895.01316
711	0.9934950265	66828.01586
712	0.9935013815	66795.3644
713	0.9935089561	66756.42584
714	0.9935175779	66712.07606
715	0.9935193337	66703.04071
716	0.9935318873	66638.40461
717	0.9935369805	66612.16304
718	0.9935477133	66556.83011
719	0.9935524481	66532.40512
720	0.9935593409	66496.83249
721	0.9935691334	66446.2616
722	0.993574514	66418.45873
723	0.9935789255	66395.65449
724	0.9935884157	66346.57094
725	0.9935941287	66317.00503
726	0.9936010611	66281.11135
727	0.9936082459	66243.89072
728	0.993613746	66215.38305
729	0.9936258781	66152.45787
730	0.993633945	66110.58431
731	0.9936407302	66075.34332
732	0.9936453023	66051.5857
733	0.9936548706	66001.84028
734	0.9936567918	65991.84714
735	0.9936607504	65971.25204
736	0.9936692214	65927.15955
737	0.99367368	65903.94028
738	0.9936832979	65853.82396
739	0.9936927564	65804.50168
740	0.993707668	65726.66811
741	0.9937108754	65709.91446
742	0.9937181922	65671.67946
743	0.9937256634	65632.61491
744	0.9937332033	65593.16747
745	0.993736779	65574.45216
746	0.9937439418	65536.94507
747	0.9937470409	65520.71
748	0.9937530682	65489.12441
749	0.9937570827	65468.07836
750	0.9937599684	65452.94543
751	0.9937648409	65427.38618
752	0.9937748988	65374.59479
753	0.9937819965	65337.31505
754	0.993793444	65277.14352
755	0.9938007725	65238.59335
756	0.9938026377	65228.7784
757	0.9938046503	65218.18598
758	0.993810623	65186.74098
759	0.9938226163	65123.55356
760	0.9938283722	65093.20655
761	0.9938407664	65027.81164
762	0.993846809	64995.90546
763	0.9938533923	64961.12657
764	0.9938630691	64909.97123
765	0.9938731012	64856.89529
766	0.9938805176	64817.62986
767	0.9938887173	64774.18965
768	0.9938992374	64718.41361
769	0.9939043715	64691.17601
770	0.9939141825	64639.0943
771	0.9939225939	64594.40924
772	0.9939268107	64571.9961
773	0.9939317471	64545.7478
774	0.9939419541	64491.44111
775	0.9939522491	64436.61959
776	0.9939602835	64393.80376
777	0.9939641743	64373.05911
778	0.9939708695	64337.34625
779	0.9939762571	64308.59388
780	0.9939792988	64292.35577
781	0.9939849501	64262.17469
782	0.9939919674	64224.67896
783	0.9939966699	64199.53974
784	0.9940031568	64164.84477
785	0.9940104657	64125.73099
786	0.9940172525	64089.39032
787	0.9940219019	64064.48218
788	0.9940261461	64041.7366
789	0.9940328369	64005.8629
790	0.9940405536	63964.4631
791	0.9940448756	63941.26442
792	0.9940533876	63895.55077
793	0.9940641244	63837.84208
794	0.9940693069	63809.9679
795	0.9940748069	63780.37317
796	0.9940819653	63741.83429
797	0.9940872369	63713.43824
798	0.9940892538	63702.57063
799	0.9940920717	63687.38408
800	0.9940961005	63665.66473
801	0.9940991724	63649.09954
802	0.9941072338	63605.60786
803	0.9941106458	63587.19065
804	0.9941150055	63563.65042
805	0.9941173069	63551.22091
806	0.9941218717	63526.559
807	0.9941281856	63492.43201
808	0.9941305298	63479.7568
809	0.9941335858	63463.22898
810	0.9941367275	63446.23283
811	0.9941393551	63432.01452
812	0.9941470972	63390.10291
